scenario,year,population_millions,electricity_supply_twh,electricity_demand_twh,electricity_coverage_ratio,food_adequacy_pct,effective_renewable_water_km3,freshwater_withdrawal_km3,renewable_water_per_capita_m3,withdrawal_share_pct
Infrastructure lag,2040,129.546659,142.91390176937713,177.98542671893603,0.8029528282394617,123.6059306300036,457.8918230978358,109.87031301567639,3534.5706838941774,23.99481874831402
Infrastructure lag,2041,130.209802,144.0746067518107,181.90159914026898,0.7920469497396286,123.01072567420952,456.51814762854224,110.8744646997268,3506.0198281273956,24.28697857372861
Infrastructure lag,2042,130.836996,145.196166044477,185.8070621977744,0.7814351312972654,122.40352165157756,455.14859318565664,111.85415842962404,3478.745363319536,24.575305758222644
Infrastructure lag,2043,131.42739300000002,146.27927979914097,189.69827638243098,0.7711154923951049,121.78604618100945,453.78314740609966,112.80833167683642,3452.7288189160045,24.85952427313965
Infrastructure lag,2044,131.97966399999999,147.32463755101168,193.57090249522076,0.7610887568943845,121.15984046943312,452.4217979638814,113.73549298017242,3427.9659778788455,25.139260197461216
Infrastructure lag,2045,132.492032,148.33291836867366,197.41979384594904,0.7513578830115741,120.52627914966732,451.06453256998975,114.6337420723138,3404.4653535843554,25.41404473084493
Infrastructure lag,2046,132.962,149.3047910019761,201.23853092526923,0.7419294422171123,119.88658800878466,449.71133897227975,115.50052564574347,3382.254621412733,25.68325848970042
Infrastructure lag,2047,133.38528599999998,150.24091402790808,205.01769828859267,0.7328192408853494,119.24185983128062,448.36220495536287,116.33169574008707,3361.40678181972,25.945919271154576
Infrastructure lag,2048,133.75942999999998,151.14193599448546,208.7503010707936,0.7240321820816374,118.59306855750695,447.0171183404968,117.12463665879895,3341.9484393772973,26.20137615615519
Infrastructure lag,2049,134.089,152.00849556267693,212.4402253044666,0.7155353716313392,117.94108193651107,445.6760669854753,117.88287305471816,3323.7332442293946,26.450348534995484
Infrastructure lag,2050,134.37343900000002,152.8412216463952,216.08352776939276,0.7073247240275965,117.28667283337552,444.3390387845189,118.60546621847557,3306.747539478534,26.692560379776353
Infrastructure lag,2051,134.61261100000002,153.64073355057886,219.6768791684289,0.6993941926532043,116.63052933412798,443.0060216681654,119.2918390105909,3290.9696823885643,26.92781433565856
Infrastructure lag,2052,134.805056,154.40764110739048,223.21472446308016,0.691744872471124,115.9732637760796,441.6770036031608,119.94023063944843,3276.412745254605,27.155643074234554
Infrastructure lag,2053,134.952918,155.14254481055679,226.6974019743415,0.6843596065036354,115.3154208178534,440.35197259235133,120.55207518943591,3263.004454578383,27.376299572304863
Infrastructure lag,2054,135.064723,155.84603594787473,230.13630927088207,0.6771901245901882,114.65748465121584,439.0309166745743,121.13455726171462,3250.5224674734227,27.5913500988141
Infrastructure lag,2055,135.13913,156.51869673190853,233.52659628815837,0.6702392756102755,113.99988544596562,437.7138239245506,121.68609531008649,3238.9865461213976,27.800377474726893
Investment and efficiency,2026,117.72447199999999,124.59744,123.61188367537142,1.0079729900987258,130.31461578362203,479.958,93.47631605564378,4076.960311191712,19.475936656049857
Investment and efficiency,2027,118.656413,128.970913323747,126.17484261134165,1.0221602869045625,131.55675147788583,480.91791599999993,93.65100382387189,4053.029278746189,19.473386353082322
Investment and efficiency,2028,119.583981,133.41684375744256,128.7327446644223,1.0363862287348153,132.73368435891012,481.87975183199995,93.81679945721427,4029.6346366993753,19.468923336277072
Investment and efficiency,2029,120.502129,137.93623941589067,131.27960407890905,1.0507057846775687,133.8519842087699,482.84351133566406,93.96988820883128,4006.9292994455236,19.461768875983736
Investment and efficiency,2030,121.408895,142.53012147336173,133.81258955379468,1.0651473224502728,134.9175821876624,483.8091983583353,94.1089398425773,3984.95677238752,19.451664036547545
Investment and efficiency,2031,122.301597,147.1995243269827,136.32798615355188,1.0797454615165059,135.93583300195914,484.7768167550519,94.23210377555769,3963.781574782314,19.438244676451042
Investment and efficiency,2032,123.18033,151.94549576213498,138.8250957828285,1.0945102894064012,136.91157102073402,485.7463703885621,94.33970342864318,3943.376108738807,19.421597191385743
